"SourceRelativePath","LengthBytes","SHA256","InclusionReason"
"XbPreview.Host\CameraDiagnosticLogger.cs","3313","9D223928358BA533BC3E62BD1DB03C20D6DD1CDF7CA87EE7FA7DD2D81F4DACA8","Product managed host source/project"
"XbPreview.Host\CameraFollowSmoother.cs","4060","616BED417251625762BE6DE9C10D03523B35CEA9856A821723A379E5212C203D","Product managed host source/project"
"XbPreview.Host\CameraMath.cs","3524","32C0AE3580D27F8ABD0FC5578D52A521C3C34D5ECF484DF11D8FA91AF0A36310","Product managed host source/project"
"XbPreview.Host\CameraSettings.cs","352","E4311D766D09DC2B75E9D8256C5B7B205A752A98F0A309C655FA45D79E71C851","Product managed host source/project"
"XbPreview.Host\CameraState.cs","1319","9068235770859007380F84E39500DEF38A81842E8C69DB78DF47C336DFAC13F5","Product managed host source/project"
"XbPreview.Host\CameraUpdateService.cs","8147","8F01EDF3623AA2BC9DC7F3A1974B0CF1EE45EAD1CBB938DFE55B604EA73D345D","Product managed host source/project"
"XbPreview.Host\CaptureDisplaySnapshot.cs","2154","77EE848D1F3996ADCD354BB45331F07359964B02E106FAF298793F0A7D09AC87","Product managed host source/project"
"XbPreview.Host\CaptureRegion.cs","1899","297A2ECC5F9FCCA8ABEEBD580C1CA2D5C78778516C101D260E565F1849A95136","Product managed host source/project"
"XbPreview.Host\ComfortZoneDiagnosticLogger.cs","6431","7AB1FB10D59A4D0855AC62CB868735457BDD0630708C5D0B461501E72F878622","Product managed host source/project"
"XbPreview.Host\ComfortZoneMath.cs","4158","F60F585A96B9B8B34A8C9719C260979AFCE66EB78B129ECEC720FE95ADF95051","Product managed host source/project"
"XbPreview.Host\ComfortZoneSettings.cs","746","DF8F1180E8C7719B74E8070402CF6A31DD80E963BFA3FDDE1DD7F2AAC3F8BF6F","Product managed host source/project"
"XbPreview.Host\ComfortZoneTracker.cs","12947","7F6C1A74D1C3445E20FFE81FCC8CCC622F6611E1127FE0063117121F4D492638","Product managed host source/project"
"XbPreview.Host\CursorMode.cs","523","583F2D1092AD8FEE49C49E7E738EF2249C547F9F0A8D5328072C6F0C65527887","Product managed host source/project"
"XbPreview.Host\DisplayGeometryProvider.cs","3699","1A839C453C63B40F124E855651218651BEEAEB55F855DA8702A82E14DBF53A2B","Product managed host source/project"
"XbPreview.Host\FixedTargetCameraController.cs","11460","128DEAAE7178A88E5625C000B998F06C4B4D4AD5E2B7F1324EE4E21F13BA2DCD","Product managed host source/project"
"XbPreview.Host\HotkeyActivationState.cs","140","FB084C30120F1DAFCF356F30AE054A5560ABE3AA256412CB98196C20A1A7DCD0","Product managed host source/project"
"XbPreview.Host\HotkeyBindings.cs","1498","C1806305C58D21868C5E9443522FCB618E753715F3D8C8CBEEE77ED47DBA9CC5","Product managed host source/project"
"XbPreview.Host\HotkeyRegistrationResult.cs","562","AC38D0E46152D3985147E9AC2E2BAF985ACA073E2F16C0731DC690A55943569B","Product managed host source/project"
"XbPreview.Host\HotkeyService.cs","4158","2D886D4A3E4DC8246E578F376436A047CD4490684F513E1891D94F24F57D8DBA","Product managed host source/project"
"XbPreview.Host\IHotkeyRegistrar.cs","1156","6972408CC31A452C7902D555FE0E9CFA28F5F7162784054A364E871EA4DF1E79","Product managed host source/project"
"XbPreview.Host\IPreviewNativeSession.cs","856","893A00716F16371C6B12B08283369DDC7C268E9694F67CDA0D38713FE0B71839","Product managed host source/project"
"XbPreview.Host\MainForm.cs","58330","B99876D8C1BA8BE888AB9962C83DD46D69AF8A1A9A9E7D52DF0A65015D3662DB","Product managed host source/project"
"XbPreview.Host\ManagedStartupDiagnostics.cs","3717","280CE8EC4BCAD293B9AD006ECAE73A85F4E2F0BE166C745B1C56D4AAA63B10BB","Product managed host source/project"
"XbPreview.Host\NativeMethods.cs","14289","956A5764D6B8A6A71C90F7312D44810EBE4CCE9379DF8F0AF43DAC6DF0BEF418","Product managed host source/project"
"XbPreview.Host\NativePreviewSession.cs","6981","2392C63AE02183FFBB1441BA33757CD51F60CCBB8D2E8E3171D1E7D1FB35E629","Product managed host source/project"
"XbPreview.Host\OutputCanvas.cs","1198","5418E11B802F1B038DB66BC729A6967BF3B925D9DC916F3F0169FBD244BBC42C","Product managed host source/project"
"XbPreview.Host\PreviewLifecycleController.cs","66235","0F23138E53789FEC66FA848B741CB47E837F98241C72A14CDDC17CE818796374","Product managed host source/project"
"XbPreview.Host\PreviewLifecycleState.cs","731","52664E12EE61150055BF8FD901933ED9CB2C3A8047D32D17AC73B305C7B6199B","Product managed host source/project"
"XbPreview.Host\PreviewReconfiguration.cs","2662","C0CE1C294D9DDE93DFDFF021E2D03655BC474CD3D1220CD9A8CD0F6D7FD2628B","Product managed host source/project"
"XbPreview.Host\ProductFeatures.cs","954","C7AF2910AF9E562B28C850820942D1E36D6647D1C1DB0B34C80B33C2C025E727","Product managed host source/project"
"XbPreview.Host\Program.cs","617","720C8ACFBCDE5BD7849F37B5608F444F76FD88DB6C3AE5B5F78514C45B65A6FE","Product managed host source/project"
"XbPreview.Host\RegionSelectionController.cs","6245","1FF9AD6E504B231B9338E6FAB0158CD4A1496F029A5E6A26F3E6FEC8023CA44D","Product managed host source/project"
"XbPreview.Host\RegionSelectionMath.cs","18471","DA320DA1C20C6BAF1A1A2FDC3F815C7A46EF5B1A0A335DF746530ADB98347FB1","Product managed host source/project"
"XbPreview.Host\RegionSelectionOverlayForm.cs","18552","5252EA666FF6EA08AD350168AB7CD8FFD80756ADE9282EF2A6A831F12F20F2E0","Product managed host source/project"
"XbPreview.Host\RegionSelectionResult.cs","1957","71D2D64BCE47D080F019239EC32369F9B28218C40DC576B15AD4C43AFB6A2347","Product managed host source/project"
"XbPreview.Host\RegionSelectionState.cs","2536","A22A79B47087E2EB734228A36CB4EF0ECFD29AA112FD1C4D9F8ADC3197E92F50","Product managed host source/project"
"XbPreview.Host\RegionSelectionToolbarForm.cs","16284","6D564B1EE334E434D8F1D6A090F66837F36695010AE88FA1CC2E27720D445D73","Product managed host source/project"
"XbPreview.Host\SessionGeometry.cs","3513","7F7890D0EBD2EB750F8F3A48D9B26CCE1598FAC9866B1255123CECEA95DA95F5","Product managed host source/project"
"XbPreview.Host\SessionGeometryNativeV1.cs","2627","217D7D4681F56665E1E90AA0FDEF0D4F7B0387243A2DA08D5695F98C7AE22FBC","Product managed host source/project"
"XbPreview.Host\WindowDisplayAffinity.cs","951","694D1F6B5A09CAE2B7F43F47D96C6588767B434EEC935167AC0DD10F76FF54EF","Product managed host source/project"
"XbPreview.Host\XbPreview.Host.csproj","804","AA8B2E22016460434AA9092BD600EA10CF32776DB71692E3E41FA17C0B30C6ED","Product managed host source/project"
"XbPreview.Managed.Tests\PreviewLifecycleTests.cs","54273","E9188AEA13CF093C5EFF25B79129AF45B233D49C403BB2772664E8B654CBAF68","Managed regression tests/project"
"XbPreview.Managed.Tests\ProductFeaturesTests.cs","4670","3367AC241B8C41BC0E8A6C9DB1B63B39F6128EC29602509A844F9220913BF98D","Managed regression tests/project"
"XbPreview.Managed.Tests\Program.cs","81406","E5A5166D7518774DDF68B88A2AA035024F704ACE45757301DB262F52A5A9E51D","Managed regression tests/project"
"XbPreview.Managed.Tests\SessionGeometryTests.cs","11791","94F45F081AFC8A1EFAE64EC8FDF4F99C011640D5144338A6E6A368F251E493E6","Managed regression tests/project"
"XbPreview.Managed.Tests\XbPreview.Managed.Tests.csproj","3559","74A49D9AE6BF4C42B0CE12D812AA31849E4F6DD0598ACEF79E9FF5793CF14C9F","Managed regression tests/project"
"XbPreview.Native.Tests\NativeTests.cpp","139923","4E847D6790E6934F3BC5BDE01F6914947BBE6367F7151E48BF60C0CA25C38E0D","Native regression tests/project"
"XbPreview.Native.Tests\XbPreview.Native.Tests.vcxproj","4566","08165734D7DE4ACD854063E766B6940EDD818A277DAD90A391CDE694B5AABA54","Native regression tests/project"
"XbPreview.Native\CameraStateStore.h","1974","F601FA95C6C7065FCF569EFCB394ED6B6E7BB8EC7F0B51290F23358D8FE15DC1","Product native capture/render/encode source/project"
"XbPreview.Native\CameraTransform.h","3064","8306855DAC659B71E25823BFDA4395D2D8703C47FEE57ED1652D4FFDA3DB77CD","Product native capture/render/encode source/project"
"XbPreview.Native\CropTransform.h","2773","5D4AE59588AD83BB57FCF969550A42020FF518B512CD9D99779534962E612F05","Product native capture/render/encode source/project"
"XbPreview.Native\CursorCaptureState.h","3375","B09960E2A74B250D82000BFD7A1AAD734A403FEFA2F62D5C4D00185DF55CD7C3","Product native capture/render/encode source/project"
"XbPreview.Native\CursorCoordinateMapper.h","4408","E8106B2752212B0CBE3AC4C95E9EE84CFEF85C5F7BDDEB21118E6E87605ABD92","Product native capture/render/encode source/project"
"XbPreview.Native\CursorDiagnosticLogger.cpp","14764","65750411367FED41D01D18653A1D4502A8EEA6AB325A9A5B4F638F68F10033D8","Product native capture/render/encode source/project"
"XbPreview.Native\CursorDiagnosticLogger.h","1928","31646AAE0FD26FBD3F507DBE0CBB279029C0B8323E39CF4F7E2FF8424FEBD392","Product native capture/render/encode source/project"
"XbPreview.Native\CursorMode.h","2091","846A55402E3294E59E74B89B66C78F12329F88B6211FAC8E71FCDE3CD1CC4025","Product native capture/render/encode source/project"
"XbPreview.Native\CursorShapeCache.cpp","17018","989C00FFCCF1D841D3FB7949C05312607D85306D32FA17C68ED5D7EE5F56EA61","Product native capture/render/encode source/project"
"XbPreview.Native\CursorShapeCache.h","1306","532DB0180C4EF1CC5FC7A7929E2A125C1BE71BDE5984971441554F43BB81AABC","Product native capture/render/encode source/project"
"XbPreview.Native\CursorStateProvider.cpp","1219","2D125D95A420C71035E921A42DB138FC1DF2308B301C6032337812B2624833B1","Product native capture/render/encode source/project"
"XbPreview.Native\CursorStateProvider.h","377","5FF8D7B60CF10F4694A5824D08CB4CB4A7048C2A37819E10359ED4AA2E445095","Product native capture/render/encode source/project"
"XbPreview.Native\CustomCursorRenderer.cpp","9053","3CE01AC8CC6A0C06E8113EDDBB9E399920DFDCAA7E8754C8E1C290159918BAFF","Product native capture/render/encode source/project"
"XbPreview.Native\CustomCursorRenderer.h","1524","59F80FF42EF0AC180A5C27A7DA61DBA6E53F9FDFC4487E02AF9B79AAFCEBC507","Product native capture/render/encode source/project"
"XbPreview.Native\D3D11Nv12Converter.cpp","6038","A648B4FB027E9DAE1FCDDAD286B0F02D19B9EBEF20AD581F095446BFABB9B00F","Product native capture/render/encode source/project"
"XbPreview.Native\D3D11Nv12Converter.h","1518","5F723A8D0E2E02FABE935A35B918245547E4E78AD96C41012F30FE6B39B32845","Product native capture/render/encode source/project"
"XbPreview.Native\DiagnosticLogger.cpp","24574","1B4C86A73B4A622B11D3ED93875BF49BED0239F57D78EE89ED023477588EB4CF","Product native capture/render/encode source/project"
"XbPreview.Native\DiagnosticLogger.h","9079","ACB2F27188B50E0F4825AEB25BC19EF8DCDA22DE0882224BDBEAE1D3F369682C","Product native capture/render/encode source/project"
"XbPreview.Native\Exports.cpp","10427","58EA2A72334E64E3E0A725C7455FFD5A54401F4F3DBE17CCEDF877DDE06D1D1A","Product native capture/render/encode source/project"
"XbPreview.Native\LatencyStatistics.h","2024","50BE306645FD08D395AA443EC0DD5DC3197CFADFA6F0DDA89BB8E7BCB5C2FE64","Product native capture/render/encode source/project"
"XbPreview.Native\Letterbox.h","1130","5D5C097524C6321809AA136F77F209B25662B3C5305014334C5C0E195F7D36F4","Product native capture/render/encode source/project"
"XbPreview.Native\MfH264SinkWriterSession.cpp","14760","D17CC6AC2C2F0A281E40E77BDF5DDC6EC6DBC05020717887AE4DD51A8746B931","Product native capture/render/encode source/project"
"XbPreview.Native\MfH264SinkWriterSession.h","2083","BEA5853323E89CCD34FC19D50940087E0BF798A32D6632292E477E36B3AB624A","Product native capture/render/encode source/project"
"XbPreview.Native\Nv12TrackedTexturePool.cpp","12171","A7DB6D551640BE2BB311B2EDAD7DFCB13353264F833EFB8A2D77E0C4E53DC8CF","Product native capture/render/encode source/project"
"XbPreview.Native\Nv12TrackedTexturePool.h","1986","82F93425A19140218B0A505A0E4D532EE538BE853B42619B86F02920D6DEE977","Product native capture/render/encode source/project"
"XbPreview.Native\OutputCanvasTarget.cpp","2040","FC00E57A03B4B9015E359E886910845471CB5A9CB776B313B242BD7A7BF70C99","Product native capture/render/encode source/project"
"XbPreview.Native\OutputCanvasTarget.h","2143","3F168EB102C44A6997CEC26F4AE8234D70A81D061F4BE0ACBEC1D28ED5AB1935","Product native capture/render/encode source/project"
"XbPreview.Native\PreviewEngine.cpp","63821","7AF8037697342F4DFF07648E03DD3A4D833A9AB940A8489998937B0696A44D98","Product native capture/render/encode source/project"
"XbPreview.Native\PreviewEngine.h","7464","CADDAB173802B4526310664B2C17EFB33EAE2C07E8EBA3EA55D8444D4E345FFE","Product native capture/render/encode source/project"
"XbPreview.Native\PreviewRenderer.cpp","36358","D143A65B002A1A482BE49643C9FCA4B7116D36EFBC31E8952DD40F382AE60BA3","Product native capture/render/encode source/project"
"XbPreview.Native\PreviewRenderer.h","4929","B4D426996E9285D60C31D4D32B40E191E7017DCFB5762F71E1664B0262959BD4","Product native capture/render/encode source/project"
"XbPreview.Native\PreviewStateMachine.h","1212","0A0947F067EFD90F6184422AB6589E44C931F8BD10BF0F72AF29AE94207CAFA8","Product native capture/render/encode source/project"
"XbPreview.Native\RenderFrameTap.cpp","39933","7805562DDDE9174EFD1F4E469D0B8B19E9F5594D0067EF54FBF80C72D356E327","Product native capture/render/encode source/project"
"XbPreview.Native\RenderFrameTap.h","5956","198425A15F0DD0FA0927763305C59A9A16A8536C05E3DA7B958DC39A72F697CA","Product native capture/render/encode source/project"
"XbPreview.Native\SessionGeometryStore.cpp","4811","B3E9B83F352D0DDE508301E45A53857C62B74A400043D0BFB70BC25AB9C98F61","Product native capture/render/encode source/project"
"XbPreview.Native\SessionGeometryStore.h","1387","DEAEDC5046E753D9C920B96AECE5B03040AB5DF9EC54F011167E872794B23878","Product native capture/render/encode source/project"
"XbPreview.Native\VideoEncoderConfig.cpp","2443","2E830D1CC7B91F2E786F52496AEF2C5F37FE5182DCA60F1C4877C543DD9C27E5","Product native capture/render/encode source/project"
"XbPreview.Native\VideoEncoderConfig.h","871","833C8F3F7A2599485F7B10E99BC620DBE3E706E15D8C034855882DEF834EB2C8","Product native capture/render/encode source/project"
"XbPreview.Native\VideoEncoderConsumer.cpp","25283","B113ADA4C3810B62AF0FEE19D913FB8C43D334862C295720852B0B8B55C56F94","Product native capture/render/encode source/project"
"XbPreview.Native\VideoEncoderConsumer.h","1101","2F9B72A8B2E97C1DBFF79B64D7377D53AEA1C9AE51FF1AA2F0A662ABDAB50807","Product native capture/render/encode source/project"
"XbPreview.Native\VideoEncoderDiagnostics.cpp","13669","BC8F8CE936D93368A59F0215D5113679D0E485913C7C8CCF4339FBE4DA2408E7","Product native capture/render/encode source/project"
"XbPreview.Native\VideoEncoderDiagnostics.h","5437","B027074AFFCB8B3DC5F5A21E80778757A87A192944D3018730EE76ABF8CF55B8","Product native capture/render/encode source/project"
"XbPreview.Native\VideoEncoderTimestamp.cpp","2693","17D05DC76494DB1F9F8813D1AACA7D0A8EE3D5D0585BC7B3B5885B3B8F077B12","Product native capture/render/encode source/project"
"XbPreview.Native\VideoEncoderTimestamp.h","1240","30A3911A660ED7EDC9431C38B2B5D43D49879474606C1AC66A07ED25261675A1","Product native capture/render/encode source/project"
"XbPreview.Native\XbPreview.Native.vcxproj","5005","9AA52390895C33CADCDF02BF272D286336C71D2A7768713A27ACB39D0A832376","Product native capture/render/encode source/project"
"XbPreview.Native\XbPreviewApi.h","12360","37CF9D589E3918460C966493344131EBDF12A947E63E9CF04A6A24E32EE2A19B","Product native capture/render/encode source/project"
"XbPreview.P1D-A1.sln","2739","4997C03F43CDA430F5A8BD21ED159D547BAED37B0AE5C9C20C3805CDE724F702","Solution entry point"
